ID,Title,activities.aims.restortechnique,data,region,disturbance.factor,grazing,what.restore,soil,benchmark,paradigm
230,Active restoration of woody canopy dominants in degraded South African semi-arid thicket is neither ecologically nor economically feasible,"planting nursery-propagated individuals, costs","field data, App.",Africa,browsing,goat,native woody vegetation,no,intact site,active restoration
231,Plant volatiles inhibit restoration of plant species communities in dry grassland,grazing exclusion,App.supplementary data,Mongolia,grazing,sheep and goats,palatable grasses,no,not clear,passive restoration
232,Seasonal priority effects: Implications for invasion and restoration in a semi-arid system,germination plasticity of exotics,field and experiments,"California, USA",exotic annual grass invasion,no,native vegetation,water addition,native vegetation,active restoration
233,Soil moisture enhancement techniques aid shrub transplant success in an arid shrubland restoration,shrub transplant establishment,field data,USA,exotic annual grass invasion,no,native perennial vegetation,no,not clear,active restoration
235,Supplementing seed banks to rehabilitate disturbed Mojave Desert shrublands: Where do all the seeds go?,"seeding, tackifier, harrowed, or untreated control",field data,"California, USA",military training area,no,vegetation,seed bank,pre-disturbance conditions,active restoration
238,Land restoration by fodder shrubs in a semi-arid agro-pastoral area of Morocco. Effects on soils,effects of plantations on soil chemical properties,field data,Morocco,overgrazing,livestock,palatable vegetation,chemical properties,rangeland rehabilitation,active restoration
239,Can native vegetation recover after slash pine cultivation in the Brazilian Savanna?,effect of cultivated exotic trees on native species,field data,Brazil,forestry,past cattle grazing,native vegetation,moisture,native vegetation recovery,natural regeneration
240,The roles of exotic grasses and forbs when restoring native species to highly invaded southern California annual grassland,exotic removal and seeding,experiments,"California, USA",exotic plants invasion,no,native vegetation,no,native vegetation,active restoration
241,Spatio-temporal variation in the effect of herbaceous layer on woody seedling survival in a Chilean mediterranean ecosystem,facilitation by exotic herbs ,field data,Chile,exotic annual grass invasion,past cattle grazing,native woody vegetation,moisture,not clear,passive restoration
242,"A comparison of soil qualities of different revegetation types in the Loess Plateau, China",physicochemical and microbial soil properties,experiments,China,agriculture,no,soil quality,physicochemical and microbial properties,not clear,active restoration
243,Demographic processes limiting seedling recruitment in arid grassland restoration,"seeding, life stage transition for species used in restoration","experiments, App.","Oregon, USA",not clear,no,native vegetation,physicochemical properties,not clear,active restoration
244,Using hydrogel and clay to improve the water status of seedlings for dryland restoration,clay and hydrogel ,field and experiments,Spain,not clear,no,native vegetation,no,not clear,active restoration
245,"Drought tolerance in two perennial bunchgrasses used for restoration in the Intermountain West, USA","evaluate ideal species for restoration, water use",experiments,USA,exotic annual grass invasion,no,native perennial grasses,water content,not clear,active restoration
246,Does shelter enhance early seedling survival in dry environments? A test with eight Mediterranean species,use of shelters in restoration,experiments,Spain,deforestation,past grazing,native vegetation,no,not clear,active restoration
247,Changes in soil physico-chemical and microbiological properties during natural succession on abandoned farmland in the Loess Plateau,succession after land abandonment,lab,China,abandoned farmland,past overgrazing,vegetation and soil,physicochemical and microbial properties,soil properties of native forests,passive restoration
248,The effects of restoration on soil properties in degraded land in the semi-arid region of Turkey,planting and testing species for soil restoration,experiments and lab,Turkey,erosion,no,soil,physicochemical properties,not clear,active restoration
250,"Using hydrogel filled, embedded tubes to sustain grass transplants for arid land restoration","vertical irrigation tubes, and hydrogels",experiments,USA,not clear,no,vegetation cover,water addition,not clear,active restoration
251,"Vegetation restoration of secondary bare saline-alkali patches in the Songnen plain, China","constructing safe sites, retaining seed movement, and sowing, costs",experiments,China,overgrazing,past overgrazing,vegetation,seed bank,not clear,active restoration
252,Potential of kochia prostrata and perennial grasses for rangeland restoration in Jordan,seeding,experiments,Jordan,overgrazing,livestock,forage,no,not clear,active restoration
253,"Limitations to postfire seedling establishment: The role of seeding technology, water availability, and invasive plant abundance","seeding using a rangeland drill, seeded by hand",experiments,USA,wildfire,no,native vegetation,texture and microtopography,not clear,active restoration
254,Salinity tolerance and mycorrhizal responsiveness of native xeroriparian plants in semi-arid western USA,testing species for salinity tolerance and mycorrhizal responsiveness,experiments,USA,exotic shrub invasion,no,native vegetation,mycorrhizal inoculation,not clear,active restoration
255,The effects of exclosures in restoring degraded semi-arid vegetation in communal grazing lands in northern Ethiopia,exclosures from livestock,field data,Africa,grazing,livestock excluded,vegetation cover,no,not clear,passive restoration
256,"Differences of arbuscular mycorrhizal fungal diversity and community between a cultivated land, an old field, and a never-cultivated field in a hot and arid ecosystem of southwest China","arbuscular mycorrhizal fungi in a cultivated land, an old field and a never-cultivated field",lab,China,agriculture,past overgrazing,mycorrhizal fungi,physicochemical properties,fungi of non-cultivated fields,passive restoration
259,Restoration of species diversity in semi-arid sandy land degraded by overgrazing and cultivation,grazing exclusion,field data,China,overgrazing,grazing excluded,vegetation,no,not clear,passive restoration
262,Revegetation of bare patches in a semi-arid rangeland of South Africa: An evaluation of various techniques," over-sown and hollows-dyker plough, furrows-ripper, sub-soiler and walking-stick planter",eperiments,Africa,overgrazing,grazing,rangeland ecosystem,no,stable vegetation to deliver animal production.,active restoration
263,The importance of phytogenic mounds (Nebkhas) for restoration of arid degraded rangelands in Northern Sinai,phytogenic mounds (nebkhas),"field data, App.",Africa,overgrazing,grazing excluded,vegetation and soil,temperature and moisture,not clear,passive restoration
264,"Evaluation of restoration techniques for the Succulent Karoo, South Africa","gypsum (CaSO4) and organic mulch, and seeding",field data,Africa,overgrazing,past overgrazing,soil hydraulic conductivity and infiltration,gypsum and mulching addition,not clear,active restoration
267,Potential for using facilitation by grasses to establish shrubs on a semiarid degraded steppe,facilitation of shrubs,field data,Spain,anthropogenic disturbance,no,desirable plant species,"temperature, moisture, chemical properties",not clear,passive restoration
268,The effects of irrigation on revegetation of semi-arid coastal sage scrub in Southern California,"irrigation schedules—no irrigation, spring, irrigation only, summer irrigation only, and irrigation year round as needed",field data,"California, USA",anthropogenic disturbance,no,native vegetation,water addition,not clear,active restoration
269,"Restoring the vegetation of mined peatlands in the Southern Rocky Mountains of Colorado, U.S.A.",four revegetation techniques,field data,USA,peat mining,livestock,vegetation,no,not clear,active restoration
271,Patch creation by fossorial rodents: A key process in the revegetation of phytotoxic arid soils,revegetation facilitated by rodents burrows,"field data, App.",Africa,mining,no,vegetation,"ph, electrical conductivity, microbial",not clear,passive restoration
274,Atwell Island Restoration Project Activities 2000-2010,"seeding, micro-topographic relief, fire, grazing","field data, App.","California, USA",agriculture,rotational grazing,native vegetation,"fallowing, disking, micro-topography",native vegetation,active restoration
275,Central Valley Project Improvement Act Land Retirement Demonstration Project,"irrigation, planting, weed control",,"California, USA",retired croplands,future strategy,native vegetation,"salt-remediation products, seed coatings, and mycorrhizal inoculation",native vegetation,active restoration
276,"Efficacy of habitat reclamation for endangered species at the Elk hills oil field, California","seeding, ripped, disked, fertilization",field data,"California, USA",oil and gas fields,no,habitat for endangered species,"ripped, disked",undisturbed sites,active restoration
277,Restoration efforts of Atriplex canescens,"grazing, seeding",field data,"California, USA",invasive species,sheep,native species,no,not clear,active restoration
278,"California Valley Solar Ranch San Luis Obispo County, CA","seeding, tillage, weed suppression",field data,"California, USA",solar power plant installation,fenced to livestock,native shrubland habitat,tillage,valley saltbush scrub community,active restoration
